Date	Location	QID
July 15, 2019	Washington State University, Vancouver 	Q7972305
July, 24 2019	Huntington Library, San Marino, California	Q1400558
August 2, 2019	Plant Conservatory at NC State, Raleigh NC 	Q1132346
August 15, 2019	Orange Coast College, Costa Mesa, CA 	Q7099536
March 14, 2020	Central Lakes College, Brainerd, MN 	Q5061331
May 8, 2020	University of North Georgia	Q7895970
July 4, 2020	University of the South, Sewanee	Q7458159
July 9, 2020	Cal Poly-San Luis Obispo, San Luis Obispo, CA	Q1026846
July 13, 2020	Longwood Gardens PA	Q1129930
August 17, 2020	San Francisco Conservatory of Flowers	Q5163145
blooming 	Huntington Library, San Marino, California	Q1400558
blooming 	United States Botanic Garden	Q1848855
blooming 	United States Botanic Garden	Q1848855
