Item Name,Unique ID,Urban Place Name,Pop 1990,Pop 1980,Pop 1970,Pop 1960,Pop 1950,Pop 1940,Pop 1930,Pop 1921,Longitude,Latitude,Elevation,Atlas Page,Capital,,Additional Notes: 
Key,From Right to Left:,,In 1000's,In 1000's,In 1000's,In 1000's,In 1000's,In 1000's,In 1000's,In 1000's,To 1/10th of a Min.,To 1/10th of a Min.,In Meters;,From Carta,E = State Capital,,* Missing coordinates were not available
,1st. three digits = Municipality ID,,,,,,,,,,"(e.g., 09020.20 =","(e.g., 2220.20 =",at 10 meter,De Mexico,M = Municipal Capital,,* Urban ID conforms to INEGI system
,Following digits = State ID,,,,,,,,,,90 degrees,22 degrees,intervals,"INEGI, 1982",,,
,,,,,,,,,,,20 minutes,20 minutes,,,,,
,,,,,,,,,,,2/10 minute),2/10 minute),,,,,
,8032,Higalgo del Parral,88.197,75.6,57.6,41.5,32.1,24.2,18.6,15.2,-10540.10,2655.70,1725, G13-05
,8036,Jiminez,28.773,23.8,18.1,14.9,7.4,5.2,6,6.7,-10454.80,2707.80,1380, G13-02
,8037,Juarez,789.522,544.5,407.3,262.1,122.6,48.9,39.7,19.5,-10629.00,3144.30,1150, H13-01
,8040,Madera,13.774,10.2,9.8,7.3,5.1,4.5,3.8,1.4,-10808.50,2911.60,2100, H12-09
,8045,Meoqui,16.428,14.9,12.3,10.3,6.2,3.8,3.1,3.8,-10529.00,2815.90,1150, H13-11
,8045,General Lazero Cardenas,6.524,5.3,3.6,3.2,2.2,0.2,n/d,n/d,-10537.30,2823.50,1230, H13-11
,8050,Nuevo Casas Grandes,44.087,28.5,20,11.7,6.2,3.2,1.8,0.9,-10754.50,3024.80,1450, H13-04
,8052,Ojinaga,18.177,18.6,12.8,8.3,4.6,2.2,1.5,0.8,-10424.70,2933.80,800, H13-08
,8059,San Francisco del Oro,8.505,10.8,12.1,11.3,11.5,10.8,5.5,1.4,-10550.90,2651.80,2000, G13-05
,8060,Santa Barbara,12.746,14.9,17,15.8,14.8,13.9,10.2,6.8,-10549.20,2648.20,1940, G13-05
,8062,Saucillo,10.213,8.8,8.5,6.8,4.5,3.8,2.3,2.4,-10517.50,2801.90,1180, H13-11
,8062,Naica,5.872,6.6,7.2,5.9,1.1,1.2,1.6,1.8,-10529.60,2751.30,1350, G13-02
,9000,In the Federal District,8235.7,8831.2,6874.2,4870.9,3050.4,1757.5,1229.6,906.1,,,,
,15000,In the State of Mexico,6811.9,5221.5,2119.1,593.2,293.2,207.5,163.7,144.8,,,,
,9000,Mexico City M.A. (11),15047.6,14052.7,9017.2,5490.6,3349.1,1971.9,1405,1059.1,-09907.00,1930.00,2600,E14-02,
,10001,Canatlan,8.356,8.4,6,5.1,4,3.4,3.4,1,-10446.60,2431.40,2000,G13-11,M
,10001,Nuevo Ideal,8.583,8.3,5.3,3.7,2.4,1.2,n/d,n/d,-10504.20,2453.10,1950,G13-11, 
,10004,Cuencame,6.945,5.6,3.8,3,2.3,1.8,1.4,0.8,-10341.60,2452.20,1600,G13-12,M
,10005,Victoria de Durango,348.036,257.9,150.5,97.3,59.4,33.4,36.3,39.1,-10439.30,2401.50,1880,G13-11,E
,10008,Guadalupe Victoria,12.831,12,7.9,6.5,4.8,4.2,2.4,1.8,-10407.30,2426.80,2000,G13-11,M
,10013,Bermejillo,7.6,7.5,4.6,3.9,3.5,2.5,1.9,1.2,-10337.10,2553.30,1150,G13-09, 
,10018,Santa Maria del Oro,5.151,5.3,4.2,4.2,3.2,1.9,1,1,-10521.70,2556.70,1700,G13-08,M
,10020,Francisco I Madero,4.655,5.2,4.1,3.4,3.1,2.4,1.9,1,-10418.90,2424.10,2000,G13-11,M
,10022,Villa Union,9.651,6.1,4,3.1,4,2.9,1.8,1.4,-10402.80,2358.40,1900,F13-02, 
,10023,El Salto,15.1,10.9,7.8,6.9,5.6,6.1,4.2,0.7,-10521.60,2346.70,2550,F13-02,M
,10032,Santiago Papasquiaro,16.002,10,6.6,5.6,4.1,3.2,3.5,3,-10525.20,2502.70,1730,G13-08,M
,10036,Tlahualico,11.422,11.6,9,4,3.2,1.9,1.3,0.8,-10326.50,2606.30,1050,G13-06, 
,10038,Vicente Guerrero,13.346,10.5,8.5,6.1,5.7,5,4.4,3.1,-10359.00,2344.00,2000,F13-03,M
,11001,Abasolo,19.808,11.5,9.5,6,5.4,5.1,4.8,4.5,-10131.80,2027.00,1710,F14-10,M
,11002,Acambaro,52.248,38.2,32.3,26.2,23,17.6,15.9,15.3,-10043.30,2001.90,1860,F14-10,M
,11002,Iramuco,6.303,5,4.3,2.9,2.5,2.3,2.1,2,-10055.40,1957.70,1840,E14-01, 
,11003,San Miguel de Allende,48.935,30,24.3,14.9,11.6,9,8.7,8.2,-10044.70,2054.90,1910,F14-10,M
,11004,Apaseo el Alto,19.9,13.8,8.7,6.1,4.3,3.2,2.4,2.1,-10037.30,2027.30,1850,F14-10,M
,11005,Apaseo el Grande,17.542,9.3,7.1,5.4,6,3.8,3.6,3.1,-10041.20,2032.60,1770,F14-10,M
,11007,Celaya,214.856,141.6,80,58.9,34.4,22.8,24.5,24,-10048.80,2031.30,1750,F14-10,M
,11007,Rincon de Tamayo,9.446,7.5,6.1,4.2,3,3.4,3.1,2.7,-10045.30,2025.30,1790,F14-10, 
,11007,San Juan de la Vega,11.8,8.4,6.1,4.2,3.4,2.2,2.4,2.1,-10045.60,2037.40,1770,F14-10, 
,11007,San Miguel Octopan,10.652,8.9,3.7,3.5,3.3,1.8,2,1.7,-10044.90,2034.40,1760,F14-10, 
,11008,Ciudad Manuel Doblado,10.381,8.5,6,4.8,3.6,3.7,3.1,3.2,-10157.00,2043.60,1720,F14-10,M
,11009,Comonfort,18.327,14.9,11.6,8.8,7.6,6.5,5.1,4,-10045.70,2043.10,1790,F14-10,M
,11009,Empalme Escobedo,10.533,7.4,5.8,4.6,4.8,1.9,1.9,1.3,,,,,
,11011,Cortazar,45.579,35.3,25.8,17.9,12.1,9,6.9,6.1,-10057.70,2028.90,1730,F14-10,M
,11012,Cueramaro,11.741,8.9,7.8,5.6,5.3,4.6,3.5,4.1,-10140.50,2037.50,1720,F14-10,M
,11014,Ciudad Dorores Hidalgo,40.001,23.1,16.8,12.3,9.3,5.9,6.9,6.1,-10056.00,2109.30,1920,F14-07,M
,11015,Guanajuato,73.108,49,36.8,28.2,23.4,23.5,18.1,19.4,-10115.30,2100.90,2000,F14-07,E
,11017,Irapuato,265.042,170.1,116.7,83.8,49.4,32.4,29.3,20.7,-10120.80,2040.40,1730,F14-10,M
,11018,Jaral del Progreso,14.545,9.9,8.7,7.1,5.8,5.3,4.9,4,-10103.90,2022.30,1730,F14-10,M
,11020,Leon ,758.3,593,365,209.9,122.7,74.2,69.4,53.6,-10140.80,2106.90,1800,F14-07,M
,11021,Moroleon Conurb. (12),94.9,75.2,57.3,43.7,35.8,29.2,26.5,20.5,-10111.40,2007.70,1810,F14-10,M
